type	uri	avsender
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=01fd502d-6919-431e-aec2-3df392242f53	Troms og Finnmark fylkeskommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=392b0f1a-8922-4c98-8be0-0b642a89cae8	Tromsø kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=d6be56b2-a996-4bed-8917-8e4c90638208	Tysnes kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=c056c511-c0a6-4f8f-8478-573fafeaac38	Vest Næringsråd
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=7c1e415a-1503-4dcf-a1e7-a4b57fdc8c42	Vest-Finnmark Rådet
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=10b25e14-03d4-4e8e-864a-32d49c350293	Vesterålen regionråd
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/vestland-fylkeskommune.pdf?uid=Vestland_fylkeskommune	Vestland fylkeskommune (PDF, 145KB)
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/volda-kommune.pdf?uid=Volda_kommune	Volda kommune (PDF, 329KB)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=a0b2b44f-f908-48d0-98f9-58f1ace0bbf0	Yrkesorganisasjonenes Sentralforbund (YS) 
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?showSvar=true&consterm=&isFilterOpen=true&page=2	kontekst
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?expand=horingsresultat&lastvisited=undefined	kontekst
